Datetime,Close,High,Low,Open,Volume
2026-06-09 07:00:00+00:00,13586.0,13716.0,13532.0,13632.0,48623
2026-06-09 07:15:00+00:00,13516.0,13610.0,13504.0,13590.0,44580
2026-06-09 07:30:00+00:00,13588.0,13604.0,13496.0,13518.0,42418
2026-06-09 07:45:00+00:00,13572.0,13612.0,13538.0,13592.0,8933
2026-06-09 08:00:00+00:00,13560.0,13606.0,13540.0,13566.0,13782
2026-06-09 08:15:00+00:00,13538.0,13572.0,13524.0,13564.0,12095
2026-06-09 08:30:00+00:00,13554.0,13558.0,13522.0,13538.0,11843
2026-06-09 08:45:00+00:00,13568.0,13587.0,13555.7958984375,13556.0,12080
2026-06-09 09:00:00+00:00,13560.0,13588.0,13546.0,13566.0,9997
2026-06-09 09:15:00+00:00,13492.0,13562.0,13490.0,13562.0,17980
2026-06-09 09:30:00+00:00,13550.0,13554.0,13486.0,13494.0,20887
2026-06-09 09:45:00+00:00,13528.0,13568.0,13528.0,13550.0,23528
2026-06-09 10:00:00+00:00,13552.0,13552.0,13522.0,13524.0,16693
2026-06-09 10:15:00+00:00,13562.0,13564.0,13540.0,13554.0,4754
2026-06-09 10:30:00+00:00,13588.0,13600.0,13562.0,13562.0,4920
2026-06-09 10:45:00+00:00,13596.0,13604.0,13584.0,13592.0,4246
2026-06-09 11:00:00+00:00,13600.0,13616.0,13588.0,13602.0,8794
2026-06-09 11:15:00+00:00,13604.0,13616.0,13592.0,13597.59375,6890
2026-06-09 11:30:00+00:00,13598.0,13628.0,13598.0,13608.0,19888
2026-06-09 11:45:00+00:00,13608.0,13610.0,13590.0,13597.7412109375,4858
2026-06-09 12:00:00+00:00,13566.0,13616.0,13566.0,13610.0,11792
2026-06-09 12:15:00+00:00,13572.0,13584.0,13558.9130859375,13568.0,11731
2026-06-09 12:30:00+00:00,13498.0,13570.0,13494.0,13570.0,25626
2026-06-09 12:45:00+00:00,13520.0,13617.0,13490.0,13496.0,22501
2026-06-09 13:00:00+00:00,13542.0,13564.0,13488.0,13520.0,28937
2026-06-09 13:15:00+00:00,13562.0,13574.0,13536.0,13546.0,9090
2026-06-09 13:30:00+00:00,13606.0,13654.0,13548.0,13562.0,44602
2026-06-09 13:45:00+00:00,13548.0,13632.0,13526.0,13606.0,45051
2026-06-09 14:00:00+00:00,13588.0,13640.0,13544.0,13554.0,42102
2026-06-09 14:15:00+00:00,13632.0,13636.0,13584.0,13590.0,43114
2026-06-09 14:30:00+00:00,13634.0,13672.0,13600.0,13634.0,39283
2026-06-09 14:45:00+00:00,13636.0,13646.0,13596.0,13634.0,53329
2026-06-09 15:00:00+00:00,13672.0,13674.0,13576.0,13640.0,59714
2026-06-09 15:15:00+00:00,13630.0,13684.0,13536.0,13674.0,80054
2026-06-10 07:00:00+00:00,13690.0,13730.0,13590.0,13730.0,52805
2026-06-10 07:15:00+00:00,13666.0,13714.0,13666.0,13688.0,13096
2026-06-10 07:30:00+00:00,13706.0,13706.0,13600.0,13668.0,9463
2026-06-10 07:45:00+00:00,13678.0,13708.0,13678.0,13706.0,7990
2026-06-10 08:00:00+00:00,13632.0,13704.0,13632.0,13678.0,13820
2026-06-10 08:15:00+00:00,13646.0,13654.0,13634.0,13638.0,11594
2026-06-10 08:30:00+00:00,13598.0,13640.0,13594.0,13640.0,4587
2026-06-10 08:45:00+00:00,13574.0,13608.0,13542.0,13598.0,7698
2026-06-10 09:00:00+00:00,13538.0,13574.0,13530.0,13570.0,16062
2026-06-10 09:15:00+00:00,13514.0,13538.0,13508.0,13536.0,9202
2026-06-10 09:30:00+00:00,13490.0,13532.0,13476.0,13514.0,15409
2026-06-10 09:45:00+00:00,13526.0,13530.0,13486.0,13494.0,4911
2026-06-10 10:00:00+00:00,13527.1982421875,13534.0,13514.0,13530.0,123464
2026-06-10 10:15:00+00:00,13538.0,13542.0,13520.0,13528.0,4860
2026-06-10 10:30:00+00:00,13518.0,13548.0,13514.0,13530.0,25958
2026-06-10 10:45:00+00:00,13496.0,13536.2607421875,13480.0,13518.0,83347
2026-06-10 11:00:00+00:00,13418.0,13502.396484375,13406.0,13502.0,68124
2026-06-10 11:15:00+00:00,13408.0,13440.0,13392.0,13420.0,30542
2026-06-10 11:30:00+00:00,13466.0,13526.728515625,13402.0,13410.0,27347
2026-06-10 11:45:00+00:00,13476.0,13490.0,13468.0,13472.0,5996
2026-06-10 12:00:00+00:00,13436.2568359375,13484.0,13436.0,13480.0,9325
2026-06-10 12:15:00+00:00,13454.0,13474.0,13438.0,13438.0,33340
2026-06-10 12:30:00+00:00,13458.0,13478.0,13436.0,13454.0,17020
2026-06-10 12:45:00+00:00,13500.0,13504.0,13460.0,13460.0,16181
2026-06-10 13:00:00+00:00,13456.0,13502.0,13454.0,13502.0,21512
2026-06-10 13:15:00+00:00,13500.0,13500.0,13450.0,13458.0,42757
2026-06-10 13:30:00+00:00,13462.0,13502.0,13442.0,13498.0,63372
2026-06-10 13:45:00+00:00,13432.0,13466.0,13386.0,13462.0,84914
2026-06-10 14:00:00+00:00,13406.0,13452.0,13376.0,13434.0,56109
2026-06-10 14:15:00+00:00,13438.0,13438.0,13398.0,13408.0,75186
2026-06-10 14:30:00+00:00,13464.0,13466.0,13410.0,13438.0,51514
2026-06-10 14:45:00+00:00,13520.0,13522.0,13446.0,13460.0,47013
2026-06-10 15:00:00+00:00,13546.0,13568.0,13435.9501953125,13524.0,53519
2026-06-10 15:15:00+00:00,13478.0,13548.0,13478.0,13548.0,36031
2026-06-11 07:00:00+00:00,13484.0,13500.0,13392.0,13432.0,45178
2026-06-11 07:15:00+00:00,13490.0,13544.0,13481.7802734375,13488.0,12708
2026-06-11 07:30:00+00:00,13530.0,13562.0,13460.2490234375,13544.0,36831
2026-06-11 07:45:00+00:00,13488.0,13542.0,13488.0,13530.0,58282
2026-06-11 08:00:00+00:00,13498.0,13524.0,13488.0,13488.0,8461
2026-06-11 08:15:00+00:00,13464.0,13500.0,13458.0,13498.0,11076
