Date,KO,PEP,Spread,Z-Score,Signal_Long,Signal_Short
2022-08-29,55.7567024230957,153.02220153808594,7.71051673170205,0.18120650096712235,False,False
2022-08-30,55.24117660522461,151.70672607421875,7.6080262627813156,0.12798721746798583,False,False
2022-08-31,54.8500862121582,151.07533264160156,7.41518191377213,0.027850705368859814,False,False
2022-09-01,55.107845306396484,152.60269165039062,7.193378083048586,-0.08732333054661748,False,False
2022-09-02,54.352333068847656,150.66920471191406,7.044945547295889,-0.1643985286982416,False,False
2022-09-06,54.379005432128906,149.65390014648438,7.390405061680916,0.014985057181823776,False,False
2022-09-07,55.38337707519531,152.955810546875,7.3580369464709605,-0.0018224364108104356,False,False
2022-09-08,55.21450424194336,152.44378662109375,7.3499303051130624,-0.006031897536268517,False,False
2022-09-09,55.39228057861328,152.92933654785156,7.375252803653865,0.007117083465971762,False,False
2022-09-12,55.55227279663086,153.52964782714844,7.34675820794228,-0.007679043269880637,False,False
2022-09-13,53.747928619384766,147.7998809814453,7.341456516492116,-0.01043200384545807,False,False
2022-09-14,54.03235626220703,148.921142578125,7.273828429222867,-0.0455486189491515,False,False
2022-09-15,53.298194885253906,146.44912719726562,7.315834881688865,-0.02373631458444129,False,False
2022-09-16,53.307151794433594,147.41143798828125,7.022643720240637,-0.17597899339023232,False,False
2022-09-19,53.71003723144531,148.96527099609375,6.937653878525595,-0.22011088710102927,False,False
2022-09-20,53.629459381103516,149.13304138183594,6.804399181125888,-0.2893048286761364,False,False
2022-09-21,53.18180847167969,148.70925903320312,6.489808214706997,-0.4526595874592447,False,False
2022-09-22,53.05645751953125,148.85052490234375,6.320102351229579,-0.5407811909115174,False,False
2022-09-23,52.46554946899414,148.7798614501953,5.751381338320954,-0.8360957224637968,False,False
2022-09-26,51.81195831298828,148.71807861328125,5.117188868421273,-1.16540701554327,False,False
2022-09-27,50.47795104980469,146.56390380859375,4.459553279657598,-1.5068914014192234,False,False
2022-09-28,51.015140533447266,148.9122772216797,4.25939626100341,-1.6108250962522284,False,False
2022-09-29,50.6480598449707,147.0936279296875,4.46333834381295,-1.5049259659551524,False,False
2022-09-30,50.155635833740234,144.13604736328125,4.899540791112713,-1.2784231315909436,False,False
2022-10-03,50.71967697143555,145.89292907714844,4.911953052646105,-1.2719779306628274,False,False
2022-10-04,50.83607482910156,147.53506469726562,4.512750218768254,-1.4792683159398718,False,False
2022-10-05,50.35260009765625,146.55506896972656,4.336976306085475,-1.57054081951337,False,False
2022-10-06,49.26927185058594,143.72987365722656,4.140707957738712,-1.6724552802682715,False,False
2022-10-07,48.803707122802734,142.67930603027344,4.005002340454546,-1.7429218884780255,False,False
2022-10-10,48.69626998901367,142.86471557617188,3.839349984418945,-1.8289386643889316,False,False
2022-10-11,48.776851654052734,143.54452514648438,3.7064838195240526,-1.8979308562624315,False,False
2022-10-12,49.36775207519531,149.54798889160156,2.4124059107890616,-2.5698947941794357,True,False
2022-10-13,50.021331787109375,154.15652465820312,1.618989285034715,-2.981884950762731,True,False
2022-10-14,49.22450637817383,150.25425720214844,2.0474048210506837,-2.759425554227999,True,False
2022-10-17,49.860172271728516,152.4967498779297,1.9789688363863505,-2.7949616787842295,True,False
2022-10-18,50.53166198730469,154.55380249023438,2.0045814779540265,-2.7816620378799994,True,False
2022-10-19,50.10191345214844,153.0529327392578,2.04607872301267,-2.7601141449640534,True,False
2022-10-20,49.31403732299805,151.37550354003906,1.784884826765392,-2.8957418980517917,True,False
2022-10-21,50.10191345214844,152.7880859375,2.129235797536005,-2.7169339354224338,True,False
2022-10-24,51.543373107910156,156.8668670654297,2.290032428603972,-2.633438547171937,True,False
2022-10-25,52.77891159057617,157.3878173828125,3.3620019949076436,-2.076806766165226,True,False
2022-10-26,53.172847747802734,158.0940704345703,3.5341875503993094,-1.9873975558390022,False,False
2022-10-27,53.298194885253906,157.92633056640625,3.7122019529443904,-1.8949616536937692,False,False
2022-10-28,54.399436950683594,160.88389587402344,3.884822350825843,-1.8053266467577418,False,False
2022-10-31,53.584693908691406,160.31007385253906,3.250248977815886,-2.134835727893265,True,False
2022-11-01,53.39667510986328,159.58612060546875,3.2895383198392736,-2.1144343124869764,True,False
2022-11-02,52.653564453125,157.3612823486328,3.244986375149395,-2.137568391195527,True,False
2022-11-03,52.626705169677734,156.95516967773438,3.345639077554438,-2.085303387818569,True,False
2022-11-04,53.05645751953125,157.83807373046875,3.4981756270928486,-2.0060971361607387,True,False
2022-11-07,53.26239013671875,159.1005401611328,3.3077167667878555,-2.104994957472621,True,False
2022-11-08,53.360862731933594,159.5419921875,3.267581461845147,-2.1258356482662424,True,False
2022-11-09,52.61775588989258,157.635009765625,3.123232385871333,-2.2007904658018136,True,False
2022-11-10,54.50688171386719,160.41598510742188,4.139182576949928,-1.6732473507261132,False,False
2022-11-11,54.900814056396484,157.19357299804688,5.544893661550795,-0.9433166799326134,False,False
2022-11-14,54.37256622314453,156.0281524658203,5.382566660289903,-1.0276067294429667,False,False
2022-11-15,54.28303909301758,156.43431091308594,5.165513171364644,-1.1403140990474891,False,False
2022-11-16,54.18455123901367,157.44076538085938,4.751016935815272,-1.355545748402975,False,False
2022-11-17,54.35467529296875,158.94161987304688,4.449900000537454,-1.511903970915696,False,False
2022-11-18,54.739654541015625,160.08934020996094,4.474515955709883,-1.4991218701923916,False,False
2022-11-21,55.58125686645508,163.17054748535156,4.348675286478752,-1.5644659975249746,False,False
2022-11-22,55.82299041748047,163.18817138671875,4.584875253297518,-1.4418166123774014,False,False
2022-11-23,56.073673248291016,163.4001007080078,4.769016135150601,-1.3461994696487511,False,False
2022-11-25,56.127403259277344,162.543701171875,5.091640010723104,-1.17867353598401,False,False
2022-11-28,56.13634490966797,162.3494873046875,5.161561279972581,-1.1423661613569578,False,False
2022-11-29,55.93938064575195,161.20172119140625,5.324974681877002,-1.0575119865728058,False,False
2022-11-30,57.35498809814453,163.77969360351562,5.931145725862734,-0.7427511216986891,False,False
2022-12-01,57.517295837402344,165.14776611328125,5.663903601226252,-0.88151948273468,False,False
2022-12-02,58.02222442626953,164.96127319335938,6.227387572061765,-0.5889243418703427,False,False
2022-12-05,57.228763580322266,162.67813110351562,6.150791780373744,-0.628697534398501,False,False
2022-12-06,57.20171356201172,161.3544464111328,6.539354659327984,-0.42693206069089856,False,False
2022-12-07,57.29187774658203,161.84304809570312,6.47610680936976,-0.4597741902379961,False,False
2022-12-08,57.53532791137695,163.26446533203125,6.273257837208597,-0.5651057110187484,False,False
2022-12-09,56.93120193481445,162.66038513183594,5.858802046928538,-0.7803163587310916,False,False
2022-12-12,57.679603576660156,163.43324279785156,6.364540450622087,-0.5177062276038392,False,False
2022-12-13,57.697628021240234,163.34442138671875,6.410453201407172,-0.4938655356254818,False,False
2022-12-14,57.697628021240234,162.89134216308594,6.552711829846501,-0.41999620556156875,False,False
2022-12-15,56.9041633605957,160.12852478027344,6.626721533521454,-0.38156586717946406,False,False
2022-12-16,56.579559326171875,160.20843505859375,6.277027126378911,-0.5631484668861224,False,False
