Datetime,Returns,SMA_10,SMA_50,Vol_10,Actual,Predicted
2026-07-30 15:30:00+00:00,0.0024809445796951657,736.1502746582031,737.4961596679688,0.003568041979706329,1,1
2026-07-30 15:45:00+00:00,0.0006883019573311611,736.90927734375,737.4145593261719,0.0033956809280386562,1,0
2026-07-30 16:00:00+00:00,0.002353703336005708,737.1562744140625,737.3530590820312,0.0018475964216029738,0,0
2026-07-30 16:15:00+00:00,-0.00014208342543975405,737.169775390625,737.2760595703126,0.0015881730843434667,0,0
2026-07-30 16:30:00+00:00,-0.0009881158415459002,737.1747802734375,737.2098596191406,0.0015957427649908702,1,0
2026-07-30 16:45:00+00:00,0.0012939257439121832,737.2153015136719,737.163359375,0.0016296030804571215,1,0
2026-07-30 17:00:00+00:00,0.0009675796797530278,737.4013000488281,737.1413598632812,0.0016064116094312844,1,0
2026-07-30 17:15:00+00:00,8.111066324678617e-05,737.7543029785156,737.1127600097657,0.0013667797848504269,1,1
2026-07-30 17:30:00+00:00,0.0002027189587523459,738.256298828125,737.1018591308593,0.0011152102665528557,0,1
2026-07-30 17:45:00+00:00,-0.00017562115983382753,738.7543029785156,737.0856591796875,0.001119583453132818,1,1
2026-07-30 18:00:00+00:00,0.000567713230317235,739.1120056152344,737.0742590332031,0.0009231589892246319,1,1
2026-07-30 18:15:00+00:00,0.00024316762066045605,739.4370056152344,737.0528588867187,0.0009229945924741804,0,1
2026-07-30 18:30:00+00:00,-6.751640054980523e-05,739.5835083007812,737.0300598144531,0.0006392997835185517,1,1
2026-07-30 18:45:00+00:00,0.0005943328397459702,739.7845092773438,737.0114599609375,0.0006381488830300803,1,1
2026-07-30 19:00:00+00:00,0.001754914155126519,740.1885070800781,737.0268603515625,0.0006257629704832028,0,1
2026-07-30 19:15:00+00:00,-0.00039076909790403125,740.4680114746094,737.0472607421875,0.0006288720860133575,1,1
2026-07-30 19:30:00+00:00,1.34119686103773e-05,740.6770080566406,737.0894604492188,0.0006012159304036237,0,1
2026-07-30 19:45:00+00:00,-8.088213695378599e-05,740.8740051269531,737.1768603515625,0.0006093676409683223,1,1
2026-07-31 13:30:00+00:00,0.0018470267526757844,741.1930053710937,737.3306604003906,0.0007864648871067165,0,0
2026-07-31 13:45:00+00:00,-0.001560992036928277,741.4090026855469,737.4710607910156,0.0009985373244241218,0,1
2026-07-31 14:00:00+00:00,-0.004666111931240224,741.2368041992188,737.5562219238282,0.0018481726883246116,1,0
2026-07-31 14:15:00+00:00,0.0027244722471457816,741.247802734375,737.6696215820313,0.0020719735876499044,1,0
2026-07-31 14:30:00+00:00,0.0015327820505255385,741.3773010253906,737.8093212890625,0.0021258385041568375,1,0
2026-07-31 14:45:00+00:00,0.0011798415641328663,741.5502990722656,737.9705151367187,0.002146577615404807,0,1
2026-07-31 15:00:00+00:00,-0.0004713475904881692,741.55830078125,738.1337158203125,0.0020860640085382702,0,0
2026-07-31 15:15:00+00:00,-0.0024928067913955188,741.4102966308594,738.2651159667969,0.0022320411604961573,1,0
2026-07-31 15:30:00+00:00,0.0020532480836337186,741.4132995605469,738.4611157226562,0.002343861932815596,1,0
2026-07-31 15:45:00+00:00,0.0017131015283142759,741.5493835449219,738.6459326171876,0.0024043047422253635,1,0
2026-07-31 16:00:00+00:00,0.0006179156947136999,741.594384765625,738.852333984375,0.0023405224556755444,1,0
2026-07-31 16:15:00+00:00,0.0011700559901424157,741.8423828125,739.0433337402344,0.002288733580582532,0,1
2026-07-31 16:30:00+00:00,-0.0003358319305490909,742.4115783691407,739.1947338867187,0.0015165317819561992,1,1
2026-07-31 16:45:00+00:00,0.0006047169562946042,742.8245788574219,739.372333984375,0.0013520850310079523,1,1
2026-07-31 17:00:00+00:00,0.0008124687393800123,743.1845764160156,739.5618334960938,0.0013129557538746925,1,1
2026-07-31 17:15:00+00:00,0.001429101917268527,743.56357421875,739.7594836425782,0.0013298670757543951,0,1
2026-07-31 17:30:00+00:00,-0.0005995641689461317,743.9328247070313,739.9285339355469,0.001340952378000735,0,1
2026-07-31 17:45:00+00:00,-0.0005396941574895564,744.446826171875,740.0911340332032,0.0009390754854082774,1,0
2026-07-31 18:00:00+00:00,0.00037557450740743903,744.8368225097656,740.1911340332031,0.0008099579200019872,1,0
2026-07-31 18:15:00+00:00,0.0003889383064616947,745.1287414550782,740.272333984375,0.0006940463092571519,1,0
2026-07-31 18:30:00+00:00,7.371573445569268e-05,745.3802429199219,740.4153820800781,0.0006957294222194583,1,0
