Date,EURUSD=X,GBPUSD=X,Spread,Z-Score,Signal_Long,Signal_Short
2022-08-30,1.0014019012451172,1.172250509262085,0.09170929280952467,-1.2043750382923912,False,False
2022-08-31,1.0025062561035156,1.1659767627716064,0.09768221523474774,-0.9973072466135688,False,False
2022-09-01,1.003905177116394,1.1598505973815918,0.10383517758035998,-0.7839978756750553,False,False
2022-09-02,0.995232880115509,1.154894471168518,0.09900894534710314,-0.9513124964793465,False,False
2022-09-05,0.9909427762031555,1.1474601030349731,0.10048807734980336,-0.9000343154490328,False,False
2022-09-06,0.9952229857444763,1.156644344329834,0.0976411102731477,-0.9987322632167678,False,False
2022-09-07,0.9897951483726501,1.151185154914856,0.09644972596286161,-1.040034878688544,False,False
2022-09-08,0.9995701909065247,1.1519808769226074,0.10560727042520468,-0.7225634009056748,False,False
2022-09-09,1.0012015104293823,1.1521600484848022,0.1070995488092592,-0.6708294643905574,False,False
2022-09-12,1.0071406364440918,1.1619395017623901,0.10544960039757911,-0.7280294662770405,False,False
2022-09-13,1.0129557847976685,1.1689754724502563,0.10580467816270245,-0.7157197184745492,False,False
2022-09-14,0.9982032775878906,1.1506155729293823,0.1052998635355219,-0.733220506634131,False,False
2022-09-15,0.9984025359153748,1.1544944047927856,0.10248906160061066,-0.8306646902469615,False,False
2022-09-16,0.9988313317298889,1.1452654600143433,0.11007972493599649,-0.5675134583477718,False,False
2022-09-19,1.002234935760498,1.1433144807815552,0.11499733247801869,-0.3970310610258899,False,False
2022-09-20,1.0029587745666504,1.1443217992782593,0.1149394696056032,-0.39903703672058044,False,False
2022-09-21,0.997078537940979,1.138057827949524,0.1139202148026568,-0.4343723091682654,False,False
2022-09-22,0.983071506023407,1.1255937814712524,0.10958556166666333,-0.5846449878780222,False,False
2022-09-23,0.9841550588607788,1.126417875289917,0.11002959927279965,-0.5692512023942665,False,False
2022-09-26,0.968992292881012,1.0797386169433594,0.13109098158694088,0.16089957054662837,False,False
2022-09-27,0.9623712301254272,1.077284336090088,0.12637449565483005,-0.0026103927373743335,False,False
2022-09-28,0.9596191644668579,1.072754144668579,0.1271379598411051,0.02385719411931215,False,False
2022-09-29,0.9708172082901001,1.0835996866226196,0.12991962058571727,0.12029111818203742,False,False
2022-09-30,0.9829555749893188,1.1169440746307373,0.1161819965610017,-0.3559614207257569,False,False
2022-10-03,0.9792688488960266,1.114057183265686,0.11473556272213281,-0.40610602993067496,False,False
2022-10-04,0.9832068681716919,1.1334141492843628,0.10365214351703023,-0.790343255138824,False,False
2022-10-05,0.998432457447052,1.1451343297958374,0.10978261063498496,-0.5778137431676199,False,False
2022-10-06,0.9910998940467834,1.13553786277771,0.10989712023192222,-0.5738439528914728,False,False
2022-10-07,0.9789045453071594,1.1162084341049194,0.11270184037688269,-0.47661061126266685,False,False
2022-10-10,0.9735012650489807,1.1072726249694824,0.11423294782565863,-0.42353055837227827,False,False
2022-10-11,0.9710057377815247,1.1076405048370361,0.11145193755464511,-0.5199419319777853,False,False
2022-10-12,0.9700167775154114,1.0967799425125122,0.11889101651053458,-0.26204578971156417,False,False
2022-10-13,0.9707984328269958,1.11055588722229,0.1089822306769146,-0.6055611168354487,False,False
2022-10-14,0.975134015083313,1.1303905248641968,0.09792569059139622,-0.9888665033994074,False,False
2022-10-17,0.973937451839447,1.124416708946228,0.1013649420831979,-0.8696353865799262,False,False
2022-10-18,0.9846396446228027,1.1353960037231445,0.10354695660646174,-0.7939898488385775,False,False
2022-10-19,0.9863878488540649,1.134429931640625,0.10604485437655398,-0.7073933491237604,False,False
2022-10-20,0.9766482710838318,1.1211013793945312,0.10664853119535189,-0.6864652310507197,False,False
2022-10-21,0.9778899550437927,1.1221455335617065,0.10707992817275946,-0.6715096677453133,False,False
2022-10-24,0.9860085844993591,1.1344685554504395,0.10563561708174685,-0.7215806860545866,False,False
2022-10-25,0.9886503219604492,1.1307740211486816,0.11114439577623036,-0.5306037139953108,False,False
2022-10-26,0.9963731169700623,1.146223783493042,0.10687782972717486,-0.6785159664797833,False,False
2022-10-27,1.009193778038025,1.1638191938400269,0.1060440589065823,-0.7074209262792387,False,False
2022-10-28,0.9967803955078125,1.1566041707992554,0.09922969559455219,-0.9436595817087144,False,False
2022-10-31,0.9955002665519714,1.159595012664795,0.09562860647142257,-1.0685012453499811,False,False
2022-11-01,0.9886307716369629,1.146815299987793,0.09867645436696859,-0.9628392112276997,False,False
2022-11-02,0.9877909421920776,1.1489498615264893,0.09618015743611463,-1.0493802134452608,False,False
2022-11-03,0.9814409017562866,1.1384334564208984,0.09799108252457178,-0.986599512095604,False,False
2022-11-04,0.9749630093574524,1.1171187162399292,0.10805390513515867,-0.637744076232124,False,False
2022-11-07,0.9928810596466064,1.1331573724746704,0.11352559953817376,-0.4480527331821776,False,False
2022-11-08,1.0018634796142578,1.1517950296401978,0.10804478077990676,-0.6380603971145998,False,False
2022-11-09,1.008084774017334,1.1552680730819702,0.11157091580980005,-0.5158172233680273,False,False
2022-11-10,1.0019538402557373,1.1368157863616943,0.11975936916345042,-0.23194195553511135,False,False
2022-11-11,1.0192224979400635,1.1695632934570312,0.11161522905929655,-0.5142809826365884,False,False
2022-11-14,1.0328551530838013,1.1799131631851196,0.11721615385570439,-0.32010951239385976,False,False
2022-11-15,1.0319278240203857,1.175249695777893,0.1199077797822975,-0.22679689304835002,False,False
2022-11-16,1.0357863903045654,1.1880435943603516,0.11383799467607059,-0.4372226961031206,False,False
2022-11-17,1.0395010709762573,1.191525936126709,0.11485030026677745,-0.4021283372200036,False,False
2022-11-18,1.036172866821289,1.1860145330429077,0.11579906814793073,-0.36923668787653036,False,False
2022-11-21,1.0330898761749268,1.1886366605758667,0.11068124790135803,-0.5466600095309042,False,False
2022-11-22,1.0245691537857056,1.1827600002288818,0.10672094535217924,-0.6839547950408358,False,False
2022-11-23,1.0311086177825928,1.1894567012786865,0.10806361958631772,-0.6374072980512486,False,False
2022-11-24,1.0416233539581299,1.2073503732681274,0.10469246616918404,-0.7542776077255479,False,False
2022-11-25,1.040810227394104,1.2113430500030518,0.10078093317672354,-0.8898816623516886,False,False
2022-11-28,1.0367528200149536,1.2054728269577026,0.10127895014759869,-0.8726165336531786,False,False
2022-11-29,1.034554123878479,1.1960291862487793,0.10640873037496612,-0.6947785863540404,False,False
2022-11-30,1.0324499607086182,1.1946860551834106,0.10534686694622053,-0.7315910040620505,False,False
2022-12-01,1.042535424232483,1.207749843597412,0.10529453853526716,-0.7334051124208698,False,False
2022-12-02,1.052842140197754,1.2259259223937988,0.1014962109106452,-0.8650845914614437,False,False
2022-12-05,1.0544185638427734,1.2297248840332031,0.10012455537310849,-0.9126368050817548,False,False
2022-12-06,1.0496923923492432,1.2192445993423462,0.10353131915428726,-0.7945319641480914,False,False
2022-12-07,1.0469011068344116,1.2133007049560547,0.10535262859745231,-0.7313912605676514,False,False
2022-12-08,1.051325798034668,1.2212398052215576,0.10361640046170151,-0.7915823865066645,False,False
2022-12-09,1.0559661388397217,1.2236007452011108,0.10642459904852608,-0.6942284551189424,False,False
2022-12-12,1.0522217750549316,1.2239153385162354,0.10243610381642942,-0.8325006175605836,False,False
2022-12-13,1.0541739463806152,1.2270842790603638,0.1019291064176907,-0.8500770775026049,False,False
2022-12-14,1.062665343284607,1.235666275024414,0.10376068254750759,-0.786580450978335,False,False
2022-12-15,1.0676347017288208,1.2419428825378418,0.10385925320711153,-0.7831632278243357,False,False
2022-12-16,1.064056158065796,1.2189176082611084,0.11814883726188286,-0.28777547563535544,False,False
2022-12-19,1.05850350856781,1.2160272598266602,0.11483916278147754,-0.4025144487951628,False,False
2022-12-20,1.0614584684371948,1.2153326272964478,0.11833317302731372,-0.28138496908633237,False,False
2022-12-21,1.062699317932129,1.2189176082611084,0.11679199712821586,-0.33481407251268375,False,False
2022-12-22,1.0610079765319824,1.2077397108078003,0.12377495410608952,-0.09273065373422552,False,False
2022-12-23,1.060333013534546,1.203992486000061,0.12600792135292538,-0.015318699622637856,False,False
2022-12-26,1.0667804479599,1.206000566482544,0.13089704042023498,0.15417606633103398,False,False
2022-12-27,1.064022183418274,1.2084153890609741,0.126264819558757,-0.006412616405623445,False,False
