Datetime,Close,High,Low,Open,Volume
2026-06-23 04:00:00+00:00,4157.7001953125,4164.7998046875,4154.60009765625,4161.7998046875,656
2026-06-23 04:30:00+00:00,4135.60009765625,4158.0,4132.2001953125,4157.10009765625,2562
2026-06-23 05:00:00+00:00,4143.0,4155.0,4133.10009765625,4136.0,1798
2026-06-23 05:30:00+00:00,4138.89990234375,4151.5,4134.60009765625,4143.10009765625,2989
2026-06-23 06:00:00+00:00,4134.0,4144.89990234375,4129.2001953125,4139.60009765625,3850
2026-06-23 06:30:00+00:00,4132.39990234375,4139.2001953125,4127.89990234375,4134.2001953125,2251
2026-06-23 07:00:00+00:00,4136.2001953125,4142.7001953125,4127.5,4131.89990234375,2463
2026-06-23 07:30:00+00:00,4116.0,4137.39990234375,4114.0,4135.89990234375,3126
2026-06-23 08:00:00+00:00,4115.89990234375,4117.5,4108.2001953125,4116.2998046875,3557
2026-06-23 08:30:00+00:00,4122.60009765625,4128.39990234375,4114.2001953125,4115.7998046875,2411
2026-06-23 09:00:00+00:00,4130.2001953125,4134.89990234375,4122.10009765625,4123.0,2450
2026-06-23 09:30:00+00:00,4140.10009765625,4140.10009765625,4130.10009765625,4130.60009765625,1694
2026-06-23 10:00:00+00:00,4148.10009765625,4151.10009765625,4139.89990234375,4140.0,2101
2026-06-23 10:30:00+00:00,4137.7001953125,4149.7001953125,4137.39990234375,4148.2001953125,1633
2026-06-23 11:00:00+00:00,4144.89990234375,4150.0,4135.2001953125,4137.60009765625,2242
2026-06-23 11:30:00+00:00,4141.10009765625,4146.39990234375,4135.7001953125,4144.60009765625,2452
2026-06-23 12:00:00+00:00,4132.10009765625,4145.2998046875,4129.0,4141.0,3389
2026-06-23 12:30:00+00:00,4131.0,4140.0,4130.2001953125,4132.2001953125,2785
2026-06-23 13:00:00+00:00,4133.39990234375,4137.10009765625,4122.7998046875,4131.10009765625,4066
2026-06-23 13:30:00+00:00,4154.10009765625,4158.5,4127.89990234375,4133.7998046875,7824
2026-06-23 14:00:00+00:00,4150.10009765625,4163.5,4146.2001953125,4153.10009765625,8915
2026-06-23 14:30:00+00:00,4147.5,4150.5,4140.0,4150.2001953125,5126
2026-06-23 15:00:00+00:00,4144.7998046875,4153.2001953125,4140.60009765625,4148.0,4451
2026-06-23 15:30:00+00:00,4156.7001953125,4159.39990234375,4144.2001953125,4144.7001953125,3837
2026-06-23 16:00:00+00:00,4154.60009765625,4158.10009765625,4150.89990234375,4156.7998046875,1713
2026-06-23 16:30:00+00:00,4151.89990234375,4161.7998046875,4149.2998046875,4154.2998046875,2501
2026-06-23 17:00:00+00:00,4148.89990234375,4157.7001953125,4147.60009765625,4151.89990234375,3330
2026-06-23 17:30:00+00:00,4145.89990234375,4151.10009765625,4145.5,4149.2001953125,1467
2026-06-23 18:00:00+00:00,4139.0,4148.7998046875,4138.2998046875,4146.0,1433
2026-06-23 18:30:00+00:00,4135.60009765625,4140.7998046875,4130.7998046875,4139.0,1412
2026-06-23 19:00:00+00:00,4139.89990234375,4144.39990234375,4135.0,4135.7998046875,1132
2026-06-23 19:30:00+00:00,4129.60009765625,4142.2998046875,4129.10009765625,4140.0,2169
2026-06-23 20:00:00+00:00,4128.2001953125,4130.7998046875,4125.0,4129.89990234375,1780
2026-06-23 20:30:00+00:00,4129.0,4129.39990234375,4126.2998046875,4128.60009765625,601
2026-06-23 22:00:00+00:00,4123.10009765625,4132.39990234375,4121.60009765625,4130.0,1408
2026-06-23 22:30:00+00:00,4121.2001953125,4126.0,4113.89990234375,4123.2998046875,1807
2026-06-23 23:00:00+00:00,4114.2001953125,4120.89990234375,4111.89990234375,4120.89990234375,808
2026-06-23 23:30:00+00:00,4116.60009765625,4118.2001953125,4097.89990234375,4114.5,2288
2026-06-24 00:00:00+00:00,4117.60009765625,4129.7001953125,4111.39990234375,4117.0,2185
2026-06-24 00:30:00+00:00,4114.7001953125,4117.60009765625,4111.39990234375,4117.2001953125,906
2026-06-24 01:00:00+00:00,4116.0,4118.39990234375,4086.0,4114.89990234375,4532
2026-06-24 01:30:00+00:00,4106.5,4119.7998046875,4099.7998046875,4115.60009765625,1723
2026-06-24 02:00:00+00:00,4090.39990234375,4113.10009765625,4088.199951171875,4106.39990234375,2643
2026-06-24 02:30:00+00:00,4078.300048828125,4093.60009765625,4069.0,4090.5,3924
